"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"06/06/2022","Carone","Alimentação","2/2"," -","106,42","CCredito Nubank","Pago"
"06/06/2022","Diversos","Assinatura"," -"," -","84,98","CCredito Nubank","Pago"
"06/06/2022","Instagran","Sítio Boa vista"," -"," -","30","CCredito Nubank","Pago"
"06/06/2022","Hamilton Andrade","Cuidados Pessoais"," -"," -","238","CCredito Nubank","Pago"
"06/06/2022","Farmácia","Cuidados Pessoais"," -"," -","60","CCredito Nubank","Pago"
"06/06/2022","Amazon Prime","Assinatura"," -"," -","89","CCredito Nubank","Pago"
"06/06/2022","Carone","Alimentação","1/2"," -","143,42","CCredito Nubank","Pago"
"06/06/2022","Estima Dog","Felinos","1/3"," -","73,34","CCredito Nubank","Pago"
"06/06/2022","Farmácia","Saúde"," -"," -","69,9","CCredito Nubank","Pago"
"06/06/2022","Shopping do Micro","Manutenção Note","1/3"," -","190","CCredito Nubank","Pago"
"06/06/2022","Buylliant","Presente"," -"," -","502,37","CCredito Nubank","Pago"
"06/06/2022","IOF","Presente"," -"," -","32,07","CCredito Nubank","Pago"
